Model Name,IOP Code 0,BLE Model Id,Sensor
F30,FF148801,HA-CCD(HR) FUI-MS3897A 1/1.7 inch 6.3M  ?
F40FD,FF389701,HA-CCD(HR) FUI-MS3897A 1/1.7 inch 6.3M. 2.7µm Super CCD HR VI
S3PRO,FF392002,
F80EXR,FF392602,
X10,FF8LY903,,EXR-CMOS T8LY9 2/3" 12M
XS1,FF8LY906,
XF1,FF8LY909,
X20,FF4K2101,
X30,FF4K2103,
F660EXR,FF8EW409,EXR-CMOS T8EW4 (Areus)
XA1,FF109501,
XA2,FF109502,
XA10,FF109503,
XA20,FF109504,
XPRO1,FF116501,
XE1,FF116502,
XM1,FF116503,
X100S,FF119501,
XE2,FF119502,
XT1,FF119503,
X100T,FF119504,
XT10,FF119505,
X70,FF119506,
XE2-0400,FF119507,
XE2S,FF119507,
XPRO2,FF129501,
XT2,FF129502,FF160001
XA3,FF119301,FF160002
XA10,FF109503,FF160003
X100F,FF129504,FF160004
GFX50S,FF136101,FF160005
XT20,FF129503,FF160006
XE3,FF129505,FF170001
XH1,FF129506,FF170002
XA5,FF129301,FF170003
XT100,FF129302,FF180001
XF10,FF129303,FF180002
XT3,FF159501,FF180003
GFX50R,FF136102,FF180004
GFX100,FF149501,FF180005
XT30,FF159502,FF180006
XA7,FF139301,FF190001
XPRO3,FF159503,FF190002
X100V,FF159504,FF190003
XT200,FF139302,FF190004
XT4,FF159505,FF190005
XS10,FF159506,FF200001
XE4,FF159505,FF200002
GFX100S,FF149502,FF200003
GFX50SII,FF136103,FF210001
XH2S,FF169501,FF210002
XH2,FF179501,FF210003
FT-XH,,FF210004
XT30II,FF159508,FF210005
XT5,FF179502,FF220001
XS20,FF159509,FF220002
TG-BT1,,FF220003
GFX100II,FF189501,FF230001
GFX100SII,FF189502,FF230002
X100VI,FF179503,FF230003
XT50,FF189504,FF240001
XM5,FF159510,FF240002
