ID	Name   	Date	Format 	SoC ID 	FFUN Status	Processor/Plaform	Kernel/OS	syslog	auto_act.scr	IOP	PID	Identical Firmware	Image Sensor 	Notes
XP20	Finepix XP20	Jan/11	ZB			MIPS Zoran Lexra LX4180	ThreadX LX4180/Green Hills							
XP30	Finepix XP30	Jan/11	ZB	ZR364264		MIPS Zoran Lexra LX4180	ThreadX LX4180/Green Hills							
Z90	FinePix Z90	Jan/11	ZB	ZR364264		MIPS Zoran Lexra LX4180	ThreadX LX4180/Green Hills						CCD 1/2.3" 14M	
Z900EXR	Finepix Z900EXR	Apr/11	X3		ELF			syslog Ver 2.3		FF392602		Z909EXR		
F600EXR	Finepix F600EXR	Aug/11	X4		ELF			syslog Ver 2.3		FF8EW409			EXR CMOS 1/2" 16M BSI	GPS+ IBIS?
X10	X10	Sep/11	X4	FF4224	ELF	EXR Processor Cortex-R4F	Dual-Kernel µITRON	syslog Ver 2.3		FF8LY903	X007		EXR CMOS 2/3" 12M  T8LY9	
Z950EXR	Finepix Z950EXR	Sep/11	X3		ELF	ARM		syslog Ver 2.3		FF392602				
XS1	XS1	Sep/11	X4	FF4224	ELF	EXR Processor Cortex-R4F	Dual-Kernel µITRON	syslog Ver 2.3		FF8LY906	XS30		EXR CMOS 2/3" 12M	
F660EXR	FinePix F660EXR	Nov/11	X4	FF4224	ELF	EXR Processor Cortex-R4F	Dual-Kernel µITRON	syslog Ver 2.3		FF8EW409			EXR CMOS 1/2" 16M T8EW4 (Areus)	
F750EXR	Finepix F750EXR	Jan/12	X4		ELF			syslog Ver 2.3		FF8EW412			EXR CMOS 1/2" 16M BSI	RAW+ GPS+ OIS?
F770EXR	FinePix F770EXR	Jan/12	X4	FF4224	ELF	EXR Processor Cortex-R4F	Dual-Kernel µITRON	syslog Ver 2.3		FF8EW412		F775EXR	EXR CMOS 1/2" 16M	
HS25EXR	FinePix HS25EXR	Jan/12	X4	FF4224	ELF		Dual-Kernel µITRON	syslog Ver 2.3		FF8EW415			CMOS EXR 1/2" 16M	
HS30EXR	FinePix HS30EXR	Jan/12	X4	FF4224	ELF	EXR Processor Cortex-R4F	Dual-Kernel µITRON	syslog Ver 2.3		FF8EW415		HS33	CMOS EXR 1/2" 16M	
S4200	FinePix S4200	Jan/12	RHIR	AL8926		Altek ARC						S4300, S4400, S4500	EXR CMOS 1/2" 16M	
SL240	Finepix SL240	Jan/12	RHIR	AL8936		Altek ARC				 		SL260, SL280, SL300		
XP100	Finepix XP100	Jan/12	ZB			MIPS Zoran Lexra LX4180	ThreadX LX4180/Green Hills							
XP150	Finepix XP150	Jan/12	ZB			MIPS Zoran Lexra LX4180	ThreadX LX4180/Green Hills							
XP50	Finepix XP50	Jan/12	ZB	ZR364247		MIPS Zoran Lexra LX4180	ThreadX LX4180/Green Hills						CMOS 14M	
XP55	Finepix XP55	Jan/12	ZB			MIPS Zoran Lexra LX4180	ThreadX LX4180/Green Hills							
Z1000EXR	Finepix Z1000EXR	Jan/12	X4		ELF			syslog Ver 2.3		FF8EW415		Z1010EXR	CMOS EXR 1/2" 16M	WIFI+
Z110	Finepix Z110	Jan/12	SUNP			MIPS Sunplus  MIPS32_4Kx	ThreadX					Z115		
Z1100EXR	Finepix Z1100EXR	Jan/12	X4		ELF			syslog Ver 2.3						
Z2000EXR	Finepix Z2000EXR	Jan/12	X4		ELF			syslog Ver 2.3		FF8LY909				WIFI+
SL260	Finepix SL260	Jan/12	RHIR											
SL280	Finepix SL280	Jan/12	RHIR											
SL300	Finepix SL300	Jan/12	RHIR											RAW- WIFI+
XPRO1	XPRO1	Jan/12	X4	FF4224, FF4226	ELF	EXR Processor Pro Cortex-R4F	Dual-Kernel µITRON	syslog Ver 2.3	Y	FF116501			X-Trans CMOS 16M	
XP170	Finepix XP170	May/12	ZB			MIPS Zoran Lexra LX4180	ThreadX LX4180/Green Hills							
F800EXR	Finepix F800EXR	Jul/12	X4		ELF		Dual-Kernel µITRON	syslog Ver 2.3		FF8EW412			EXR CMOS 1/2" 16M BSI	RAW+ GPS- WIFI+
XE1	XE1	Sep/12	X4	FF4224, FF4226	ELF	EXR Processor Pro Cortex-R4F	Dual-Kernel µITRON	syslog Ver 2.3		FF116502	LX20		X-Trans CMOS 16M	
XF1	XF1	Sep/12	X4	FF4224	ELF	EXR Processor Cortex-R4F	Dual-Kernel µITRON	syslog Ver 2.3		FF8LY909	XF10		EXR CMOS 2/3" 12M	
HS33EXR	FinePix HS33EXR	Jan/13	X4		ELF			syslog Ver 2.3						
HS35EXR	Finepix HS35EXR	Jan/13	X4		ELF			syslog Ver 2.3		FF8EW421				
HS50EXR	Finepix HS50EXR	Jan/13	X4	FF4227	ELF	EXR Processor II Cortex-R4F	Dual-Kernel µITRON	syslog Ver 2.3		FF4K2009			EXR CMOS 1/2" 16M	
S8200	Finepix S8200	Jan/13	RHIR	ALD10P		Altek 						S8300, S8500, S8400	CMOS 1/2.3" 16M BSI	RAW-
SL1000	Finepix SL1000	Jan/13	LEN								SG7A1			
X100S	X100S	Jan/13	X4	FF4227	ELF	EXR Processor II Cortex-R4F	Dual-Kernel µITRON	syslog Ver 2.3		FF119501	X101		X-Trans CMOS II 16M	
XP60	Finepix XP60	Jan/13	ZB			MIPS Zoran Lexra LX4180	ThreadX LX4180/Green Hills							
S4800	Finepix S4800	Jan/13	NA	AL893x		Altek 							CMOS 1/2.3" 16M	
S6800	Finepix S6800	Jan/13	NA	ALD10P		Altek 							CMOS BSI 1/2.3" 16M	
F850EXR	Finepix F850EXR	Jan/13	X4		ELF			syslog Ver 2.3		FF4K2003			EXR II CMOS 1/2" 16M BSI	RAW- WIFI-
F900EXR	Finepix F900EXR	Jan/13	X4		ELF			syslog Ver 2.3		FF4K2003			EXR II CMOS 1/2" 16M BSI	RAW+ WIFI+
S8400W	Finepix S8400W	Mar/13	RHIR										CMOS 1/2.3" 16M BSI	RAW- WIFI+
XP200	Finepix XP200	Mar/13	LEN								SG7A2			
X20	X20	Apr/13	X4	FF4227	ELF	EXR Processor II Cortex-R4F	Dual-Kernel µITRON	syslog Ver 2.3		FF4K2101			X-Trans CMOS II 12M 2/3"	
XA1	XA1	Sep/13	X4	FF4227	ELF	EXR Processor II Cortex-R4F	Dual-Kernel µITRON	syslog Ver 2.3		FF109501	LX30B		Bayer CMOS 16M	
S1	Finepix S1	Jan/14	LEN		Ghidra MAP	ARM					SG8A3		CMOS 1/2.3" 16.4MP	
S8600	Finepix S8600	Jan/14	RHIR										CCD 1/2.3" 16M	RAW- WIFI+
XP70	Finepix XP70	Jan/14	ZB			MIPS Zoran Lexra LX4180	ThreadX LX4180/Green Hills							WIFI+
F1000EXR	Finepix F1000EXR	Jan/14	X4					syslog Ver 2.3		FF4K2003				RAW-
XT1	XT1	Jan/14	X4	FF4227	ELF	EXR Processor II Cortex-R4F	Dual-Kernel µITRON	syslog Ver 2.3	Y	FF119503	LX40		X-Trans CMOS II 16M	
X30	X30	Aug/14	X4	FF4227	ELF	EXR Processor II Cortex-R4F	Dual-Kernel µITRON			FF4K2103	X009		X-Trans CMOS II 2/3"	
XE2	XE2	Aug/14	X4	FF4227	ELF	EXR Processor II Cortex-R4F	Dual-Kernel µITRON	syslog Ver 2.3	Y	FF119502	LX21		X-Trans CMOS II 16M	
XM1	XM1	Aug/14	X4	FF4227	ELF	EXR Processor II Cortex-R4F	Dual-Kernel µITRON			FF116503	LX30A		X-Trans CMOS 16M	
XQ1	XQ1	Aug/14	X4	FF4227	ELF	EXR Processor II Cortex-R4F	Dual-Kernel µITRON			FF4K2002	XR10		X-Trans CMOS II 2/3"	
XQ2	XQ2	Aug/14	X4	FF4227	ELF	EXR Processor II Cortex-R4F	Dual-Kernel µITRON			FF4K2004	XR20		X-Trans CMOS II 2/3"	
XT10	XT10	Aug/14	X4	FF4227	ELF	EXR Processor II Cortex-R4F	Dual-Kernel µITRON			FF119505	LX32		X-Trans CMOS II	
X100T	X100T	Sep/14	X4	FF4227	ELF	EXR Processor II Cortex-R4F	Dual-Kernel µITRON	syslog Ver 2.3		FF119504	X102		X-Trans CMOS II 16M	
XA2	XA2	Jan/15	X4	FF4227	ELF	EXR Processor II Cortex-R4F	Dual-Kernel µITRON	syslog Ver 2.3	Y	FF109502	LX31		Bayer CMOS 16M	
XP80	Finepix XP80	Jan/15	SUNP			MIPS Sunplus  MIPS32_4Kx	ThreadX							
XA10	XA10	Jan/16	LEN	EV9XES	Ghidra MAP	Main ARM946ES/Sub ARM926				FF109503	C5932 LX34? "X-A4"		CMOS APS-C 16.3MP	
